route	surface	name
/live-service-tracking	app	Live-Service-Tracking
/loan-reports	app	LoanReports
/loaner-vehicles	app	Loaner-Vehicles
/login	auth	Login
/logout-confirmation	auth	LogoutConfirmation
/loss-account	app	Loss-Account
/loyalty-program	app	Loyalty-Program
/maintenance	auth	Maintenance
/marketing-automation	app	Marketing-Automation
/marketing-hub	app	Marketing-Hub
/ml-fraud-detection	app	ML-Fraud-Detection
/mobile-device-management	app	Mobile-Device-Management
/model-settings	app	ModelSettings
/multi-location-dashboard	app	Multi-Location-Dashboard
/native/android	native	Native.Android
/native/i-os	native	Native.iOS
/neural-network-prediction	app	Neural-Network-Prediction
/next-gen-technologies	app	NextGen-Technologies
/notification-center	app	NotificationCenter
/notifications	app	Notifications
/obddiagnostics	app	OBDDiagnostics
/oem-software-subscriptions	app	OEM-Software-Subscriptions
/oemintegrations	app	OEMIntegrations
/onboarding	auth	Onboarding
/operational-reports	app	OperationalReports
/opportunities	app	Opportunities
/organization-selection	auth	OrganizationSelection
/organizations	app	Organizations
/otpverification	auth	OTPVerification
/partners-current-account	app	Partners-Current-Account
/parts-auto-reorder	app	Parts-Auto-Reorder
/parts-availability	app	Parts-Availability
/parts-marketplace	app	Parts-Marketplace
/parts-network	app	PartsNetwork
/parts-network-dashboard	app	Parts-Network-Dashboard
/parts-network-incoming-requests	app	Parts-Network-Incoming-Requests
/parts-network-my-requests	app	Parts-Network-My-Requests
/parts-network/incoming	app	PartsNetwork.Incoming
/parts-network/members	app	PartsNetwork.Members
/parts-network/orders	app	PartsNetwork.Orders
/parts-network/quotations	app	PartsNetwork.Quotations
/parts-network/requests	app	PartsNetwork.Requests
/parts-network/send-request	app	PartsNetwork.SendRequest
/parts-supply-network	app	PartsSupplyNetwork
/payments	app	Payments
/payroll-management	app	Payroll-Management
/portal-appointments	app	Portal-Appointments
/portal-communications	app	Portal-Communications
/portal-dashboard	app	Portal-Dashboard
/portal-invoices	app	Portal-Invoices
/portal-vehicles	app	Portal-Vehicles
/predictive-diagnostics	app	Predictive-Diagnostics
/predictive-maintenance	app	Predictive-Maintenance
/privacy-policy	auth	PrivacyPolicy
/procurement-portal	portal	ProcurementPortal
/procurement-portal/requisitions	portal	ProcurementPortal.Requisitions
/productivity-tracker	app	Productivity-Tracker
/profile	app	Profile
/profile-completion	auth	ProfileCompletion
/profit-analysis	app	Profit-Analysis
/prompt-library	app	PromptLibrary
/public-portal/about	public	PublicPortal.About
/public-portal/accounting	public	PublicPortal.Accounting
/public-portal/ai	public	PublicPortal.AI
/public-portal/automation	public	PublicPortal.Automation
/public-portal/blog	public	PublicPortal.Blog
/public-portal/book-demo	public	PublicPortal.BookDemo
/public-portal/careers	public	PublicPortal.Careers
/public-portal/contact	public	PublicPortal.Contact
/public-portal/crm	public	PublicPortal.CRM
/public-portal/customer-portal	public	PublicPortal.CustomerPortal
/public-portal/faq	public	PublicPortal.FAQ
/public-portal/features	public	PublicPortal.Features
